Code,Date,Open,High,Low,Close,Volume,Value,Trades
FMG,16/12/2024,19.010,19.190,18.530,18.740,7162922,134999297.975,23068
FMG,17/12/2024,18.460,18.830,18.450,18.670,7125655,133170756.950,22049
FMG,18/12/2024,18.670,18.850,18.570,18.570,4171410,77868852.575,16166
FMG,19/12/2024,18.090,18.250,17.630,17.850,10130636,181808427.900,19425
FMG,20/12/2024,17.870,18.200,17.830,18.200,13304724,245099313.555,21397
FMG,23/12/2024,18.210,18.400,18.130,18.400,3000967,55033046.885,13796
FMG,24/12/2024,18.300,18.530,18.300,18.400,1851094,34218057.545,5496
FMG,27/12/2024,18.550,18.670,18.460,18.520,2456007,45739173.690,11057
FMG,30/12/2024,18.530,18.640,18.420,18.500,2121838,39380862.060,7902
FMG,31/12/2024,18.430,18.470,18.250,18.250,2414901,44246351.900,8952
FMG,02/01/2025,18.350,18.860,18.350,18.810,3892825,72937735.810,13050
FMG,03/01/2025,18.700,18.810,18.370,18.410,4093259,75925101.860,12050
FMG,06/01/2025,18.330,18.330,18.040,18.050,4846796,87875900.500,16965
FMG,07/01/2025,18.060,18.120,17.200,17.250,10284022,179761780.180,26319
FMG,08/01/2025,17.350,17.580,17.310,17.570,7646809,133791922.060,18724
FMG,09/01/2025,17.500,17.930,17.470,17.910,5135068,91118624.860,12580
FMG,10/01/2025,18.000,18.030,17.830,17.930,5414313,97221217.155,11393
FMG,13/01/2025,17.950,18.025,17.860,17.980,4489140,80645059.350,11403
FMG,14/01/2025,18.160,18.510,18.140,18.500,5833320,107019685.470,15723
FMG,15/01/2025,18.520,18.970,18.520,18.840,4869336,91480679.425,16355
FMG,16/01/2025,19.130,19.240,18.790,18.890,6901521,130718980.420,21694
FMG,17/01/2025,18.900,19.340,18.900,19.220,7395434,143347717.270,16262
FMG,20/01/2025,19.430,19.680,19.120,19.160,4522413,87491114.850,15572
FMG,21/01/2025,19.200,19.440,18.960,19.370,5375604,103666756.935,16205
FMG,22/01/2025,19.250,19.300,18.970,19.030,4379910,83654724.835,18065
FMG,23/01/2025,19.090,19.160,18.430,18.620,7721880,144203060.545,24070
FMG,24/01/2025,18.960,19.010,18.500,18.810,6033208,113731368.460,16224
FMG,28/01/2025,18.810,19.070,18.580,18.880,4725387,89381781.755,25734
FMG,29/01/2025,19.000,19.175,18.770,19.090,3990036,75972272.350,14791
FMG,30/01/2025,19.180,19.320,19.135,19.140,3230578,62132114.280,11625
FMG,31/01/2025,19.300,19.480,19.080,19.130,5917950,113334581.955,13169
FMG,03/02/2025,18.800,18.870,18.080,18.290,8329310,153114410.850,22262
FMG,04/02/2025,18.680,18.740,18.500,18.620,4951305,92116459.805,19479
FMG,05/02/2025,18.780,19.280,18.750,18.990,7763158,147981012.205,27636
FMG,06/02/2025,19.090,19.360,19.040,19.360,8916877,171736272.210,18310
FMG,07/02/2025,19.560,19.720,19.500,19.720,7206913,141467496.680,16394
FMG,10/02/2025,19.490,19.890,19.380,19.420,5339664,104662829.045,16084
FMG,11/02/2025,19.550,19.580,19.090,19.120,5034915,97041265.140,15724
FMG,12/02/2025,19.120,19.410,19.020,19.320,4975195,95719531.455,12679
FMG,13/02/2025,19.490,19.750,19.410,19.660,4958145,97127073.885,15820
FMG,14/02/2025,19.700,19.920,19.450,19.520,6779184,133126547.870,21877
FMG,17/02/2025,19.450,19.630,19.170,19.410,4569549,88542282.530,16043
FMG,18/02/2025,19.450,19.620,19.330,19.570,4346770,84760041.450,13997
FMG,19/02/2025,19.920,19.950,19.380,19.450,7096236,139956648.855,23795
FMG,20/02/2025,18.520,18.740,17.920,18.240,18743190,340669784.220,50118
FMG,21/02/2025,18.500,18.950,18.150,18.650,13661981,255277973.235,33623
FMG,24/02/2025,18.200,18.715,18.160,18.500,7145063,132261408.715,18724
FMG,25/02/2025,18.220,18.290,17.860,17.980,9650472,173946405.590,23211
FMG,26/02/2025,17.320,17.450,16.835,16.860,10618352,180933388.300,28658
FMG,27/02/2025,17.000,17.320,17.000,17.150,10537106,181030878.155,27006
FMG,28/02/2025,17.050,17.060,16.400,16.510,14078699,234258409.843,20207
FMG,03/03/2025,16.710,16.840,16.500,16.710,14072899,235005399.980,22973
FMG,04/03/2025,16.500,16.570,15.930,16.150,13422701,216503522.595,31306
FMG,05/03/2025,16.070,16.150,15.890,15.930,14468276,231693778.415,27927
FMG,06/03/2025,16.060,16.200,16.010,16.110,8640480,139622820.220,21299
FMG,07/03/2025,15.980,16.095,15.870,15.920,7614330,122203801.520,18421
FMG,10/03/2025,15.650,15.910,15.340,15.860,8865818,139627608.165,22625
FMG,11/03/2025,15.680,15.820,15.380,15.700,7825919,122568700.850,21609
FMG,12/03/2025,15.690,15.930,15.330,15.930,10586999,166537176.785,20834
FMG,13/03/2025,15.900,15.950,15.710,15.850,7109380,112822393.855,16236
FMG,14/03/2025,15.870,16.430,15.820,16.270,10314033,167656509.275,21771
FMG,17/03/2025,16.480,17.040,16.430,16.950,12650896,213772553.375,24389
FMG,18/03/2025,16.760,16.900,16.535,16.660,6946257,115975933.330,14926
FMG,19/03/2025,16.560,16.810,16.230,16.490,6958275,115044271.355,16086
FMG,20/03/2025,16.010,16.290,15.920,15.940,17294583,277852420.015,20406
FMG,21/03/2025,15.990,16.030,15.790,15.790,27497213,449855322.036,16789
FMG,24/03/2025,15.840,16.300,15.665,16.300,6847864,109997015.355,19572
FMG,25/03/2025,16.310,16.440,16.065,16.090,5454971,88317370.890,15457
FMG,26/03/2025,16.300,16.470,16.150,16.210,8026018,130618737.880,19734
FMG,27/03/2025,16.110,16.330,16.070,16.210,6101115,98972703.605,14972
FMG,28/03/2025,16.040,16.495,15.940,16.010,8974230,145012239.985,19765
